Persona,Semanas,Edad,Educación,Casado,Cabeza Fam,Años Trab Ant,Administrador,Ventas
1,37,30,14,Casado,Cabeza familia,1,No Administrador,0
2,62,27,14,Casado,no cabeza familia,6,No Administrador,No Ventas
3,49,32,10,Soltero,Cabeza familia,11,No Administrador,No Ventas
4,73,44,11,Casado,no cabeza familia,2,No Administrador,No Ventas
5,8,21,14,Casado,Cabeza familia,2,No Administrador,No Ventas
6,15,26,13,Casado,no cabeza familia,7,Administrador,No Ventas
7,52,26,15,Casado,no cabeza familia,6,No Administrador,No Ventas
8,72,33,13,Soltero,Cabeza familia,6,No Administrador,No Ventas
9,11,27,12,Casado,Cabeza familia,8,No Administrador,No Ventas
10,13,33,12,Soltero,Cabeza familia,2,No Administrador,No Ventas
11,39,20,11,Casado,no cabeza familia,1,No Administrador,No Ventas
12,59,35,7,Casado,Cabeza familia,6,No Administrador,No Ventas
13,39,36,17,Soltero,Cabeza familia,9,Administrador,No Ventas
14,44,26,12,Casado,Cabeza familia,8,No Administrador,No Ventas
15,56,36,15,Soltero,Cabeza familia,8,No Administrador,No Ventas
16,31,38,16,Casado,Cabeza familia,11,No Administrador,Ventas
17,62,34,13,Soltero,Cabeza familia,13,No Administrador,No Ventas
18,25,27,19,Casado,no cabeza familia,8,No Administrador,No Ventas
19,72,44,13,Casado,no cabeza familia,22,No Administrador,No Ventas
20,65,45,15,Casado,Cabeza familia,6,No Administrador,No Ventas
21,44,28,17,Soltero,Cabeza familia,3,No Administrador,Ventas
22,49,25,10,Casado,Cabeza familia,1,No Administrador,No Ventas
23,80,31,15,Casado,no cabeza familia,12,No Administrador,No Ventas
24,7,23,15,Casado,no cabeza familia,2,No Administrador,No Ventas
25,14,24,13,Casado,Cabeza familia,7,No Administrador,No Ventas
26,94,62,13,Soltero,Cabeza familia,8,No Administrador,No Ventas
27,48,31,16,Casado,no cabeza familia,11,No Administrador,No Ventas
28,82,48,18,Soltero,Cabeza familia,30,No Administrador,No Ventas
29,50,35,18,Casado,Cabeza familia,5,No Administrador,No Ventas
30,37,33,14,Soltero,Cabeza familia,6,No Administrador,Ventas
31,62,46,15,Soltero,Cabeza familia,6,No Administrador,No Ventas
32,37,35,8,Soltero,Cabeza familia,6,No Administrador,No Ventas
33,40,32,9,Casado,Cabeza familia,13,No Administrador,No Ventas
34,16,40,17,Casado,no cabeza familia,8,Administrador,No Ventas
35,34,23,12,Casado,Cabeza familia,1,No Administrador,No Ventas
36,4,36,16,Soltero,Cabeza familia,8,No Administrador,Ventas
37,55,33,12,Casado,no cabeza familia,10,No Administrador,Ventas
38,39,32,16,Soltero,Cabeza familia,11,No Administrador,No Ventas
39,80,62,15,Casado,no cabeza familia,16,No Administrador,Ventas
40,19,29,14,Casado,Cabeza familia,12,No Administrador,No Ventas
41,98,45,12,Casado,no cabeza familia,17,No Administrador,No Ventas
42,30,38,15,Soltero,Cabeza familia,6,No Administrador,Ventas
43,22,40,8,Casado,Cabeza familia,16,No Administrador,Ventas
44,57,42,13,Casado,no cabeza familia,2,Administrador,No Ventas
45,64,45,16,Casado,Cabeza familia,22,No Administrador,No Ventas
46,22,39,11,Casado,Cabeza familia,4,No Administrador,No Ventas
47,27,27,15,Casado,no cabeza familia,10,No Administrador,Ventas
48,20,42,14,Casado,Cabeza familia,6,Administrador,No Ventas
49,30,31,10,Casado,Cabeza familia,8,No Administrador,No Ventas
50,23,33,13,Casado,Cabeza familia,8,No Administrador,No Ventas
